pk,title,year,label,country,cat,format
1,Spice,1996,Virgin,UK,CDV2812,CD
2,Spice,1996,EMI,Argentina,8 42174 4,Cassette
3,Spice,1996,Virgin,UK,V2812,LP
4,SpiceWorld,1997,EMI,Australia,TCV2850,Cassette
5,SpiceWorld,1997,Virgin,UK,CDV 2850,CD
6,SpiceWorld,1997,Virgin,UK,V 2850,LP
7,Forever,2000,Virgin,UK,7243 8 50468 2 7,CD
8,Forever,2000,EMI,China,00A428,Cassette
9,Forever,2000,Virgin,Indonesia,7243 8 50467 2 8,VCD
